,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
1301(極洋),9.51,0.82,2.63,8.67,3.01,33.28,2.48,-0.78,2.0,0.0,34.71,0.18,0.43,33.88,20.27,0.43,53.11,0.67,4,8,4,9,4,5,57/100
1305(大和東証指数),,,,,,7721.54,,,,0.0,,0.4,1.65,530.15,15.84,0.99,54.74,0.05,5,5,10,8,5,8,68/100
1306(野村東証指数),,,,,,16636.88,,,,0.0,,0.3,1.55,3714.78,15.98,0.99,54.21,0.11,5,5,10,8,5,8,68/100
1308(日興東証指数),,,,,,7822.37,,,,0.0,,0.39,1.63,402.47,15.97,0.99,53.66,-0.37,5,5,10,8,5,8,68/100
1309(野村上証５０),,,,,,3.87,,,,0.0,,-0.57,3.4,21.11,24.41,0.57,43.59,0.96,5,5,1,4,5,8,47/100
1311(野村コア３０),,,,,,2.04,,,,0.0,,1.33,3.2,2.46,16.99,0.98,58.06,1.09,5,5,1,7,5,3,43/100
1312(野村ＲＮ小型),,,,,,2.32,,,,0.0,,-0.19,0.13,1.56,16.25,0.6,41.11,1.05,5,5,1,5,5,8,48/100
1313(ＫＤＸ２００),,,,,,522.64,,,,0.0,,0.63,-2.62,0.46,26.95,0.74,44.44,,5,5,6,6,5,7,57/100
1319(日経３００投),,,,,,2.82,,,,0.0,,-0.62,-0.88,0.95,16.19,0.82,48.0,59.83,5,5,1,3,5,4,38/100
1320(大和日経平均),,,,,,3954.68,,,,0.0,,1.22,2.36,1820.07,17.86,0.99,59.44,0.21,5,5,10,7,5,10,70/100
1321(野村日経平均),,,,,,8228.42,,,,0.0,,1.15,2.3,6490.72,17.72,0.99,58.88,0.08,5,5,10,7,5,10,70/100
